taxon	cytochrome-b	tRNA-Gly	12S-ribosomal-RNA	unknown	cytb	ND3	
Lepilemur sahamalazensis	DQ108992,DQ234882,DQ108991	DQ529738	DQ529446	EF686752	EF686709	EF686666	
Lepilemur septentrionalis	AJ304670,AJ304669,EU200436	DQ529728,DQ529724,AY582584	AJ270652,AJ270622,DQ529439	AJ304625,AJ304622,AJ304609	AJ304670,AJ304669,AJ304655		
Lepilemur leucopus	AJ406017,AJ406015,DQ109007	DQ529710,AY582591,AY582589	AF474191,DQ529348,AJ429622	AY769390,AY769388	AJ406017,AJ406018,AJ406015		
Lepilemur manasamody	EF686712			EF686755		EF686669,EF686668	
Lepilemur edwardsi	EF686717,DQ234888,EF686713	AF224594,DQ529616,DQ529617	DQ529325,AY043346,AJ429621	EF686756,AY769385	EF686717,EF686713,AJ405996	EF686670,EF686673	
Lepilemur dorsalis	AJ406011,AJ007619,DQ234887	DQ529733,DQ529650,DQ529658	AJ270676,DQ529369,AJ270684	AY769391,EF686744,EF686746	AJ406011,AJ406001,EF686700	EF686658,EF686656,EF686655	
Lepilemur microdon	DQ109008,DQ234889,DQ109009	DQ529681,DQ529679,DQ529678	AF474198,DQ529356,DQ529389	AY769394			
Lepilemur aeeclis	DQ109001,DQ529454,EF686725	DQ529602,DQ529605,DQ529603	DQ529386,DQ529312,DQ529313	EF686769	EF686726	EF686683	
Lepilemur otto	EF686722	EU779974,EU779972		EF686765		EF686679	
Lepilemur randrianasoloi	DQ234890,DQ234892,DQ234894	DQ529662,DQ529661	DQ529372				
Megaladapis edwardsi	EU441942		AJ429626				
Lepilemur ruficaudatus	DQ234896,AY321456,AY441463	AF224596,DQ529663,DQ529667	DQ529379,AY043345,AJ429624	EF686766,EF686767,AY769400	EF686723,AJ007781,AJ406025	EF686681	
Lepilemur mustelinus	DQ109033,DQ109034,AJ007782	AY582621,DQ529690,EU779966	DQ529400,AJ429623,AF474188	EF686727,AY769416,AY769411	EF686685,AJ007782	EF686644	
Lepilemur ankaranensis	DQ109025,EF686688,DQ109024	DQ529622,DQ529722,DQ529714	DQ529420,DQ529329,DQ529428	EF686737,EF686732,EF686731	EF686696	EF686650,EF686651,EF686645	
Lepilemur seali		DQ529644,AY582599,AY582596	DQ529402,DQ529354,AY254494	AY769395,AY769398,EU810339		EU810343,EU810344	
Lepilemur mitsinjoensis		AY582604,AY582605	AY254493	AY769405			
