taxon	marker1	marker2	marker3	marker4	marker5	marker6	marker7	marker8	marker9	marker10	marker11	marker12	marker13	marker14	marker15	marker16	marker17	marker18	marker19	marker20	marker21	marker22	marker23	marker24	marker25	marker26	marker27	marker28	marker29	marker30	marker31	marker32	marker33	marker34	marker35	marker36	marker37	marker38	marker39	marker40	marker41	marker42	marker43	marker44	marker45	marker46	marker47	marker48	marker49	marker50	marker51	marker52	marker53	marker54	marker55	marker56	marker57	marker58	marker59	marker60	marker61	marker62	marker63	marker64	marker65	marker66	marker67	marker68	marker69	marker70	marker71	marker72	marker73	marker74	marker75	marker76	marker77	marker78	marker79	marker80	marker81	marker82	marker83	marker84	marker85	marker86	marker87	marker88	marker89	marker90	marker91	marker92	marker93	marker94	marker95	marker96	marker97	marker98	marker99	marker100	marker101	marker102	marker103	marker104	marker105	marker106	marker107	marker108	marker109	marker110	marker111	marker112	marker113	marker114	marker115	marker116	marker117	marker118	marker119	marker120	marker121	marker122	marker123	marker124	marker125	marker126	marker127	marker128	marker129	marker130	marker131	marker132	marker133	marker134	marker135	marker136	marker137	marker138	marker139	marker140	marker141	marker142	marker143	marker144	marker145	marker146	marker147	marker148	marker149	marker150	marker151	marker152	marker153	marker154	marker155	marker156	marker157	marker158	marker159	marker160	marker161	marker162	marker163	marker164	marker165	marker166	marker167	marker168	marker169	marker170	marker171	marker172	marker173	marker174	marker175	marker176	marker177	marker178	marker179	marker180	marker181	marker182	marker183	marker184	marker185	marker186	marker187	marker188	marker189	marker190	marker191	marker192	marker193	marker194	marker195	marker196	marker197	marker198	marker199	marker200	marker201	marker202	marker203	marker204	marker205	marker206	marker207	marker208	marker209	marker210	marker211	marker212	marker213	marker214	marker215	marker216	marker217	marker218	marker219	marker220	marker221	marker222	marker223	marker224	marker225	marker226	marker227	marker228	marker229	marker230	marker231	marker232	marker233	marker234	marker235	marker236	marker237	marker238	marker239	marker240	marker241	marker242	marker243	marker244	marker245	marker246	marker247	marker248	marker249	marker250	marker251	marker252	marker253	marker254	marker255	marker256	marker257	marker258	marker259	marker260	marker261	marker262	marker263	marker264	marker265	marker266	marker267	marker268	marker269	marker270	marker271	marker272	marker273	marker274	marker275	marker276	marker277	marker278	marker279	marker280	marker281	marker282	marker283	marker284	marker285	marker286	marker287	marker288	marker289	marker290	
Saguinus geoffroyi	HM760215	HM762116																																	U39008													HM762330					HM764836													HM759511			HM760036		HM761790			HM763452						HM760898																											HM762649										HM757137				HM757876																																		AH012142				HM760736							HM758954																		HM761642				HM764087					HM759299	HM758611	HM765044					HM756857								HM758428																		HM763742					HM762789																		HM758806											HM757400																							HM762451	HM760543	HM760396						
Saguinus imperator	HM760217	HM762117									HM765394																								EU497287													HM762177					HM764837													HM759513			HM760038		HM761791			HM763453						HM760899																											HM762651										HM757138				HM757877		HM757013																																AH012143				HM760738							HM758955																		HM761644				HM764184					HM759300	HM758612	HM765046					HM756922				HM757253				HM758430																		HM763743					HM762790																		HM758809											HM757401																				JF489221			HM762452	HM760544	HM760398						
Saguinus fuscicollis	HM760214	HM762115									HM765391																								EU497281													HM762261					HM764835													HM759510			HM760035		HM761789			HM763451						HM760897																											HM762648										HM757136				HM757875		HM757012																																AH012139				HM760735							HM758953																		HM761641				HM764074					HM759298	HM758610	HM765043					HM756856				HM757252				HM758427																		HM763741					HM762788																		HM758805											HM757399																				JF489218			HM762450	HM760542	HM760395						
Callithrix pygmaea	HM760127								AY118176																														AF338382		HM759634						JF938441																						HM759943		HM761761			HM763421						HM760795																								HM757546													HM757106						HM756993																																				HM760651						AF032083	HM758922		HM765167														HM763253		HM761552				HM764122					HM759265	HM758490	HM764952					HM756831		HM763987					HM763046	HM758339						HM759419		HM764309								HM762328		HM763714					HM762760															JF938292			HM758711											HM757371																							HM762420	HM760518	HM760303						
Callithrix humeralifera	HM760166								AY118184																																HM759637						JF938429																						HM759987					HM763424																														HM757549													HM757109						HM756995																																				HM760691						AF068768	HM758925		HM765170														HM763256		HM761595				HM764180					HM759268	HM758571	HM764994					HM756920		HM763990						HM758379						HM759463		HM764312								HM762189		HM763717					HM762753															JF938281			HM758756											HM757374																							HM762422	HM760521	HM760347						
Saguinus oedipus	HM760222	HM762123									HM765399																								EU497296													HM762287					HM764841													HM759518			HM760042		HM761796			HM763459						HM760904																											HM762656										HM757144				HM757882		HM757017																																AH012148				HM760742							HM758960																		HM761649				HM764067					HM759306	HM758618	HM765051					HM756864				HM757258				HM758435																							HM762795																		HM758814											HM757406																				JF489232			HM762457	HM760550	HM760403						
Callithrix aurita	HM760094								AY118188																														AF338392		HM759629						JF938417																						HM759910		HM761756			HM763416						HM760792																								HM757541													HM757101						HM756989																																				HM760622						AF084619	HM758917		HM765162														HM763247		HM761520				HM764185					HM759259	HM758483	HM764917					HM756915		HM763983					HM763041	HM758310						HM759386		HM764304								HM762188		HM763710					HM762755															JF938270			HM758669											HM757366																							HM762415	HM760513	HM760270						
Saguinus mystax	HM760221	HM762122									HM765398																								EU497294													HM762285					HM764840													HM759517			HM760041		HM761795			HM763458						HM760903																											HM762655										HM757143				HM757881		HM757016																																AF092855				HM760741							HM758959																		HM761648				HM764171					HM759305	HM758617	HM765050					HM756863				HM757257				HM758434																		HM763746					HM762794																		HM758813											HM757405																				JF489231			HM762456	HM760549	HM760402						
Callithrix penicillata	HM760124								AY118196																														AF338381		HM759633						JF938440																						HM759940		HM761760			HM763420						HM760794																								HM757545													HM757105						HM756992																																				HM760649						AF068766	HM758921		HM765166														HM763252		HM761549				HM764090					HM759264	HM758488	HM764949					HM756830		HM763986					HM763045	HM758337						HM759416		HM764308								HM762246		HM763713					HM762759															JF938291			HM758708											HM757370																							HM762419	HM760517	HM760300						
Saguinus labiatus	HM760218	HM762118									HM765395																								EU497289													HM762205					HM764838													HM759514			HM760039		HM761792			HM763454						HM760900																											HM762652										HM757139				HM757878																																		AH012144				HM760739							HM758956																		HM761645				HM764120					HM759301	HM758613	HM765047					HM756859								HM758431																		HM763744					HM762791																		HM758810											HM757402																				AY620486			HM762453	HM760545	HM760399						
