taxon	cytb	MC1R	SRY	12S-ribosomal-RNA	C4	TSPY	tRNA-Val	IRBP	NRAMP	TTR	
Macaca ochreata	HM071122,AF350401,AF350400	AB296220	HM071773,HM757962	AY206539,AY206545,AY206544	AY224360	AF284269	AY224260	AY224305	HM071484	HM071449,HM757661	
Macaca nigrescens	HM071116,AF350384,AF350383	AB296204,AB296206,AB296205	HM071774	AY206526	AY224359	AF284268	AY224259	AY224304	HM071490		
Cercocebus torquatus	HQ450784,AY204834,JQ068152		HM757968			AY195577				HM757633	
Macaca mulatta	U38272	AB296174,AB296175,AB296173	JQ821870,FJ527022,AF284311	AM492816,AY360269,AY360289	AY224348,AY224350,AY224349	AF425276,AF284258	AF424949,AF424950,EU399484	AY224292,AY224295,AY224294	AF353077,AF353023,AF353075	FJ846618,JQ821933,FJ846617	
Macaca fascicularis	AB170369,AB049849,AF295584	AB296189,AB296188,AB296184	AF284301,HM071765,AF425288	AY206504,AF383991,AM492802	AY224335,AY224333,AY224338	AF284250,DQ832615,DQ832617	AF424966,AF424958,AF424955	AY224284,AY224286,AY224282	AF353047,AF353046,AF353049	FJ846602,FJ846603,FJ846592	
Macaca munzala	DQ859977,DQ859975,DQ859976					EF222279,EF222280,EF222281					
Macaca radiata	JN698948,DQ859973,DQ859974	AB296193,AB296194,AB296192	AF284322		AY224361,AY224362	AF284271	AY224262	AY224307	AF353064,AF353063		
Macaca maura	HM071115,AF350380,AF350379	AB296210,AB296212,AB296214	HM071766,AF284308,HM757955	AF383994,AF383996,AF383995	AY224346	AF284257	AY224250	AY224291	HM071485	HM757658	
Macaca cyclopis	AY685836,AJ304499	AB296170,AB296171	AF425289,HM757956		AY224331	AF425274	AF424944,AF424945	AY224276	AB162926,AB162927	HM757655	
Macaca tonkeana	HM071121,HM071119,HM071120	AB296219,AB296218,AB296217	HM757965,HM071768,HM071771	AF384014,AF384006,AF384021	AY224372,AY224371	AF284235	AY224269,AY224270	AY224315,AY224316	HM071486,HM071488,HM071487	HM071450,HM757666,HM071451	
Macaca nemestrina	EU204975,HM071133,HM071128	AB296202,AB296203,AY205099	AF284289,HM071785,AF454970		AY224357,AY224353,AY224351	AF284238,AF284264		AY224297,AY224301,AY224302	HM071498,HM071500,AF353056	HM071456,HM071454,HM071453	
Macaca arctoides	AY738634	AB296201	AF454973,AF284294,AF284292	AM492800,AM492799,AM492801	AY224325,AY224323,AY224326	AF284240	AY224244,AY224242,AY224243	AY224272,AY224273,AY224271	AF353028	HM757654	
Macaca thibetana	AY563620		AF284327	AM492841	AY224369,AY224370	AY224237,AF284276	AY224267	AY224314		HM757665	
Macaca brunnescens	AF350375,AF350407	AB296221		AY206547,AY206546,AY206548	AY224329		AY224248,AY224247	AY224275			
Macaca hecki	HM071118,AF350377,AF350376	AB296223,AB296222,AB296224	HM071772	AY206531,AY206532,AY206533	AY224345	AF284256	AY224249	AY224290	HM071491	HM071452	
Macaca nigra	HM071117	AB296208,AY205102,AB296209	HM757961,AF284318	AY206525,AY206522,AY206523	AY224358	AF284267	AY224258	AY224303	AF353059,AF353061,HM071483	HM757660	
Macaca pagensis	AF350393,AY151122,AY151117			AY206508			DQ355493,DQ355492,DQ355495				
Macaca assamensis	DQ355482,AY685854,AY685857	AB296196,AB296197,AB296198	AF284295,AY224238		AY224328,AY224327	AY224236,AF284244	AY224246,AY224245	AY224274	AF353032,AF353034,AF353033		
Macaca sylvanus		AY205101,AB296227	AF284325,JF293179,HM757964	AM492837,L35188	AY224368,AY224367	AF425281,AF284274,AF284275	AF424972,AF424973	JF293131,AY224312,AY224313	AF353036	JF293211,HM757664	
Macaca fuscata		AB296177,AB296182,AB296183	AF284306,AF284305		AY224344,AY224343,AY224342	AF425275,AF284255,AF284254	AF424946	AY224289,AY224288	AB162928	AY434075,HM757657	
Macaca silenus		AB296226,AB296225	HM757963,AF284288	AM492835,AY206505,AM492834	AY224363,AY224364	AF284237	AY224263,AY224264	AY224308	AF353065	HM757663	
Macaca sinica		AB296200,AB296199	AF284324	AF383992	AY224365,AY224366	AF284273	AY224266	AY224311			
Cercocebus chrysogaster						AY195576				HM757631,HM757632	
