taxon	ArgKin	RpS5	IDH	IDH.1	isocitrate-dehydrogenase	MDH	MDH.1	RT	RpS2	CAD	MA	SDMA	Wgl	PGI	cytb	RT.1	12S-ribosomal-RNA	wgl	unknown	H3	CAD.1	MDH.2	similar-to-reverse-transcriptase	16S-ribosomal-RNA	RpS5.1	cytochrome-oxidase-subunit-2	elongation-factor-1-alpha	28S-ribosomal-RNA	28S-ribosomal-RNA.1	RT.2	unknown.1	unknown.2	12S-ribosomal-RNA.1	12S-ribosomal-RNA.2	IDH.2	CAD.2	cytb.1	cytb.2	CeV1	COI	CAD.3	CAD.4	COI.1	EF1-a	unknown.3	COI.2	LWRh1	nd1	28S-ribosomal-RNA.2	ND5	ND1	16S-ribosomal-RNA.1	ND1.1	tRNA-Val	GAPDH	
Carterocephalus palaemon															AY585901																									HQ004192																
Brenthis hecate																																								DQ922846				DQ922878												
Muschampia tessellum															JQ924459																															HQ004835										
Pontia callidice																																						EF584894								FJ664004										
Pontia daplidice																																						EF584895								JQ996396										
Polyommatus violetae																			HM210201																					HM210173																
Hipparchia fidia																		DQ338731																						DQ338595																
Oeneis norna																																								HQ570284						HM386889										
Nymphalis vaualbum																																								EF683675				EF683651												
Zerynthia rumina																																																				AB186167	AB186201			
Ochlodes sylvanus																						JN205012			JN205038																															
Carcharodus alceae																		EU363982																						HQ004158																
Fabriciana adippe																																								HQ004010				DQ922884												
Fabriciana niobe																																								HQ004029				DQ922883												
Leptidea duponcheli																													JF512854																						JF512939					
Leptotes pirithous															FJ819517																									HQ004616																
Spialia sertorius																		EU363983																												HQ563568										
Thecla betulae																							HQ284558																	GU688458																
Callophrys rubi																																								HQ004152					JF813097											
Pyrgus cinarae																												HQ996656																		JF283343										
Satyrium ilicis																																								HQ005172					JX122759											
Satyrium pruni																																								HQ005181				GU372631												
Clossiana dia																		HQ161216																						HQ004081																
Boloria selene																																								FJ663335				HQ161294												
Lycaena alciphron																																								HQ004639				JN204975												
Ypthima asterope																																								HQ990415												JQ416132				
Zizeeria knysna															FJ819182																									AY556972																
Parnassius mnemosyne																																														HQ004909						DQ407790				
Iphiclides podalirius																																												AF173413								AJ224049	AJ224087			
Melanargia ines																		GQ201390																						GQ201012												GQ201285				
Erynnis tages																		EU442875																						HQ004463										EU442832						
Issoria lathonia															EU650058																									FJ663686				DQ922886												
Minois dryas																																								JX445965				JX495398						AB175877						
Zerynthia polyxena cassandra																																														KC119712						AJ972047	AJ972144			
Argynnis aglaja															JQ924446																									FJ663291				DQ922892												
Hyponephele lycaon																																														HQ004548						AF214624	AF229967			
Neptis rivularis																																					JQ924436			HQ004845				EF643361												
Melitaea arduinna																																								AF187742				AY788774		FJ663781										
Leptidea morsei																													JF512839													JF512750									JF512930					
Colias erate																																							AB467309	HQ004285				HM236307												
Archon apollinus																																											AM284162									AB186168	AM284153			
Euphydryas maturna																																								AF186966						FJ663560						AF153955				
Clossiana frigga													HQ161204					HQ161170																						FJ663369																
Papilio alexanor																																												AF044821						GQ268385		AJ224052				
Papilio machaon																																												EF485106						AB013150		AB186172				
Lycaena phlaeas																										EF175509														HQ990384				FJ490517												
Maniola telmessia																									GQ357589															GQ357220															GQ357459	
Polygonia egea		FJ639562																																						FJ639407				FJ639486											FJ639520	
Hipparchia fagi																																								HQ004522											AF229942	AF214597	AF229942			
Mellicta parthenoides																																								FJ462271				FJ462339		AF187793						AF186904				
Thymelicus lineola																						JN205020			JN205029															HQ005224										AB100055						
Quercusia quercus																																								FJ663572	JN204939			GU829029				AY545799								
Neptis sappho																																					EF095699			HM999890				EF683648						AB175872						
Pseudophilotes abencerragus																				HQ917989																				JF262049				JF271998					HQ917957							
Inachis io		FJ639576																																						AY248785				AY248810											FJ639521	
Allancastria cerisyi																																												AF173409		HQ003953						AJ972040	AB186203			
Pyrgus malvae																		GU829483				GU830296			GU830600																					JF415730										
Glaucopsyche melanops																				HQ917969																				JF262055				JF271992					HQ917937							
Coenonympha hero																		EU920813																AY351408						JF415692				EU920784												
Coenonympha oedippus																		EU920817							GQ892096															GU707147				EU920788												
Parnassius phoebus																																											JX008159			JF860401				AB063354		AB186139				
Brenthis ino	GQ864526								GQ865302												GQ864622																			DQ922847				DQ922879												
Kirinia roxelana																		DQ176325							GQ357515															HQ004571				DQ338908											GQ357387	
Kirinia climene																		GQ357318							GQ357514															GQ357184				GQ357252											GQ357386	
Nymphalis antiopa		FJ639579																																						AY218246				AY218266		HQ004859									FJ639524	
Proterebia afra																		GQ357353							GQ357590															FJ664017				GQ357288											GQ357460	
Satyrus ferula																		DQ338739																						DQ338872				DQ339030								AF214620	AF229965			
Lopinga achine																		DQ176329							GQ357517															JQ671354				DQ338910											GQ357389	
Mellicta deione														GU263901																										AY788657				FJ462314		AF187758						AF186871				
Cacyreus marshalli																			AY556543	GQ128808																				AY556966				GQ128703					GQ128526							
Iolana iolas																				HQ917972																				AY675414			HQ918028	AY675367					HQ917940							
Kretania pylaon																			AY556670																					FJ663946	GQ128608			GQ128679					GQ128498							
Colias palaeno		GU830680																																	GU830077					HQ565464		GU828181		GU829301												
Pseudophilotes bavius																				HQ917987																				HQ005079			HQ918041	AY675358					HQ917955							
Allancastria cretica																																												DQ351121		AM231511				DQ351056		DQ351103	AJ972139			
Gonepteryx rhamni																	GU196792																						AB721378	HM393184				AY870568								EF150348				
Lasiommata maera																		DQ176328																						DQ176350											AF229943	AF214598	AF229943			
Pyronia bathseba																		DQ338704																						DQ338841				DQ338991								AF214602	AF229947			
Pyronia cecilia																		DQ338705							GQ357591															DQ338842				DQ338992											GQ357461	
Chazara briseis																		DQ338730							GQ357628															HQ004207				DQ339021											GQ357502	
Erebia calcaria																										EU037865																								EU037809	HE614700	HE614717	HE614700			
Lysandra bellargus																			GQ166183	JX093340																				HQ005016	JX093262			JX093299					JX093225							
Lysandra coridon																			JX093377	GQ128767																				HQ005025	GQ128594			JX093300					GQ128484							
Albulina loewii																			AY556642	GQ128780																				AY557009	GQ128607			GQ128678					GQ128497							
Plebejus dardanus																			GQ129041	GQ128732																				GQ128944	GQ128558			GQ128633					GQ128448							
Celastrina argiolus															JQ924457				AY556547							AJ505069														GU688457				JX495376				AJ505086								
Kretania eurypilus																			AY556683	JX093345																				AY557078	JX093265			JX093298					JX093218							
Anthocharis cardamines																	DQ150057							DQ150093			EU414694											JQ924422		HQ003960														DQ150021		
Cyaniris semiargus																			JX093367	JX093338																				HQ004352	JX093260			JX093301					JX093217							
Aricia eumedon																			AY556668	GQ128744																				HQ004471	GQ128570			GQ128642					GQ128460							
Limenitis reducta				EU141568																						DQ117882														AY090217				EF643344			EF638841								EU141509	
Cupido minimus															JQ924448				GQ129045	GQ128737																				HQ004336	GQ128563			GQ128636					GQ128453							
Lycaeides argyrognomon																			GQ129072	GQ128763						EU409325														HQ004978	GQ128590			AY496827					GQ128480							
Chilades trochylus																			GQ129054	GQ128746																				AY557100	GQ128572			GQ128644					GQ128462			JQ421856				
Polyommatus thersites																			AY556581	JX093320																				HQ005063	JX093251			JX093292				AY545795	JX093200							
Oeneis jutta																		DQ018896							GQ357632															DQ018958				DQ018925		GQ351505				GQ351510					GQ357506	
