taxon	tRNA-Thr	ND3	Haau-DRB	12S-ribosomal-RNA	cytochrome-b	Haau-W16	ABC1	unknown	ADORA3	LUC7L	
Eulemur mongoz	EU333178,EU333176,EU333177	EF552602,AF224514,AF224517		AF175785,AY043338	Z35096,AF081051		EU057438,HM765316	AF175815,AF175814	HM765232,EU342227	EU057206,HM760825	
Hapalemur griseus	AF081030				U53574,Z34986		HM765323		HM765235	HM760832	
Hapalemur aureus	AF444169,AF444168	AF224582,AF224581,AY582550	AB078230,AB078200	AJ430036,AY582715,AY043333	AY441446,AJ428958,AJ428957	AB098423,AB098424					
Hapalemur simus	AF175890	AY582547,AF224584,AF224583	AB078261,AB078253,AB078280	AY582714,AF175800	AJ428979,AJ428978,AJ428977	AB098418,AB098419,AB098421		AF175829,AF175830			
Eulemur rufus	AF257999,EU333213,EU333219	AF224546,EF552599,AY582561	AB078250,AB078285,AB078218	AF175796,AF175795	U53577	AB098358,AB098357	EU057434,HM765318	AF175825,AF175824	EU342224,HM765234	HM760826,EU057202	
Eulemur coronatus	EU333234,EU333235,EU333236	AF224523,EF552608,EF552609	AB078212,AB078254,AB078268	AF175772,AY043335	Z34981,AY441448	AB098374,AB098367,AB098366	EU057430,HM765418	AF175803,AF175802	HM765226	EU057198	
Eulemur rubriventer	EU333238,EU333239,EU333237	EF552601,AF224526,EF552600	AB078283,AB078205,AB078257	AF175788,AY043337,AF175789	Z35097,AF081052	AB098402,AB098404,AB098372	EU057439,HM765422	AF175818,AF175819	HM765233	EU057207	
Eulemur fulvus	AF257971,AF257966,AF257963		S73512,L77110	AY043334,DQ073499	Z34983						
Eulemur albifrons	EU333192,EU333193,EU333186	EF552593,EF552596,AF224567	AB078245,AB078289,AB078272	AF175797	AF081048	AB098389,AB098386,AB098391	EU057431,HM765314	AF175826	HM765227	EU057199	
Eulemur macaco				AY043336	Z34982		HM765315		HM765230	HM760823	
Hapalemur occidentalis							HM765326		HM765236	HM760833	
