taxon	unknown	16S-ribosomal-RNA	556nm-X-linked-opsin	unknown.1	ZFX	ABCA1	AFF2	DMRT1	ERC2	FAM123B	
Saguinus niger	DQ241238,DQ241223,DQ241226	EU497253,EU497256,EU497260		JF489228,JF489229							
Saguinus oedipus	HM367907	EU497296	AH012148,AH012149	JF489232	HM757144	HM765399	HM765051	HM762656	HM762287	HM762123	
Saguinus mystax	DQ257684,DQ257670,DQ257678	EU497295,EU497294	AF092856,AF092854,AF092855	JF489231	HM757143	HM765398	HM765050	HM762655	HM762285	HM762122	
Saguinus midas	DQ241242,DQ241239,DQ241240	EU497272,EU497273	AH012147		HM757142	HM765396	HM765048	HM762653	HM762265	HM762121	
Saguinus martinsi	DQ241247,DQ241246,DQ241245	EU497277,EU497274		JF489225	HM757140	HM765402	HM765054	HM762659	HM762191	HM762119	
Saguinus imperator	DQ241248,DQ241249	EU497287,EU497288	AH012143	JF489220,JF489221	HM757138	HM765394	HM765046	HM762651	HM762177	HM762117	
Saguinus bicolor	DQ241243,DQ257686,DQ241244	EU497280	AH012138		HM757135	HM765388	HM765039	HM762644	HM762286	HM762114	
Saguinus leucopus		EU497286		JF489224							
Saguinus fuscicollis		EU497281	AH012139,AH012140,AH012141	JF489218	HM757136	HM765391	HM765043	HM762648	HM762261	HM762115	
Saguinus labiatus		EU497289	AH012144,AH012146,AY142427	AY620486	HM757139	HM765395	HM765047	HM762652	HM762205	HM762118	
Saguinus geoffroyi		U39008	AH012142		HM757137	HM765392	HM765044	HM762649	HM762330	HM762116	
