taxon	cytb	SRY	protamine-P1	
Trachypithecus obscurus	JQ991602,AF295579	HM757988,JF293191,EU004463	AF119238	
Trachypithecus phayrei	FJ042659,FJ042662,AF294622	AF454971,EU004464	AF294859,AF294860	
Trachypithecus cristatus	AF295580,EF465131,EF465135	EU004470,AF284283	AF294861	
Trachypithecus geei	AF294618,EU526384,EU519220		AF294857	
Trachypithecus pileatus	FJ042655,AF294626,EU004472	EU004462	AF294856	
Trachypithecus francoisi	AF020421	AF454965,HM757986,EU004467	AF119234	
Trachypithecus delacouri	EU004474	HM757985,EU004465		
Trachypithecus vetulus	AY519454,AF294624,AF295577	EU004461	AF294855,AF119236	
Trachypithecus germaini	KC285872,EF465148,EF465154	EU004469	KC285888	
Trachypithecus laotum	EU004475	EU004466		
Trachypithecus johnii	AF020419,AF294619,AY519453	EU004460	AF294854,AF294853	
